#ID 	 MEAS 	 k 	 weight
  117 	Y Y X Y X Y X Y Y	257775	0.3333
  118 	Y Y X Y Y X X X X	257962	-0.3333
  119 	Y Y X Y Y Y X X Y	258027	0.3333
  120 	Y Y Y X X X Y Y Y	260799	0.3333
  121 	Y Y Y X X Y Y Y X	260862	0.3333
  122 	Y Y Y X Y X Y X Y	261051	0.3333
  123 	Y Y Y X Y Y Y X X	261114	0.3333
  124 	Y Y Y Y X X X Y Y	261807	0.3333
  125 	Y Y Y Y X Y X Y X	261870	0.3333
  126 	Y Y Y Y Y X X X Y	262059	0.3333
  127 	Y Y Y Y Y Y X X X	262122	0.3333
